"force","duck.id","screwsize","bone","screwtype","side","location","sex","locationn","bone.id"
244.12,"s13",1.5,"tibiotarsus","cortex","L","L1","F",1,"s13Lt"
553.33,"s13",1.5,"tibiotarsus","cortex","L","L2","F",2,"s13Lt"
280.41,"s13",1.5,"tibiotarsus","cortex","L","L3","F",3,"s13Lt"
174.3,"s13",1.5,"tibiotarsus","cortex","L","L4","F",4,"s13Lt"
153.57,"s13",1.5,"tibiotarsus","cortex","L","L5","F",5,"s13Lt"
184.28,"s13",1.5,"tibiotarsus","cortex","R","L1","F",1,"s13Rt"
406.83,"s13",1.5,"tibiotarsus","cortex","R","L2","F",2,"s13Rt"
281.89,"s13",1.5,"tibiotarsus","cortex","R","L3","F",3,"s13Rt"
143.92,"s13",1.5,"tibiotarsus","cortex","R","L4","F",4,"s13Rt"
178.01,"s13",1.5,"tibiotarsus","cortex","R","L5","F",5,"s13Rt"
257.82,"s14",1.5,"tibiotarsus","cortex","L","L1","M",1,"s14Lt"
517.08,"s14",1.5,"tibiotarsus","cortex","L","L2","M",2,"s14Lt"
224.49,"s14",1.5,"tibiotarsus","cortex","L","L3","M",3,"s14Lt"
208.27,"s14",1.5,"tibiotarsus","cortex","L","L4","M",4,"s14Lt"
170.78,"s14",1.5,"tibiotarsus","cortex","L","L5","M",5,"s14Lt"
237.01,"s14",1.5,"tibiotarsus","cortex","R","L1","M",1,"s14Rt"
425.84,"s14",1.5,"tibiotarsus","cortex","R","L2","M",2,"s14Rt"
321.99,"s14",1.5,"tibiotarsus","cortex","R","L3","M",3,"s14Rt"
195.86,"s14",1.5,"tibiotarsus","cortex","R","L4","M",4,"s14Rt"
173.91,"s14",1.5,"tibiotarsus","cortex","R","L5","M",5,"s14Rt"
228.53,"s17",1.5,"tibiotarsus","cortex","L","L1","F",1,"s17Lt"
347.52,"s17",1.5,"tibiotarsus","cortex","L","L2","F",2,"s17Lt"
213.44,"s17",1.5,"tibiotarsus","cortex","L","L3","F",3,"s17Lt"
152.52,"s17",1.5,"tibiotarsus","cortex","L","L4","F",4,"s17Lt"
92.27,"s17",1.5,"tibiotarsus","cortex","L","L5","F",5,"s17Lt"
206.77,"s17",1.5,"tibiotarsus","cortex","R","L1","F",1,"s17Rt"
